dataset,patch_size,stride,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
physionet,8,4,0.006492,0.00013405222862750176,0.080584,0.0008320937447187057,0.03866,0.000390896405713842
physionet,12,6,0.006416,6.949820141557636e-05,0.080102,0.00043019762900323063,0.038566,0.00013992855319769503
